,frame,match_strength
17_00_fil.wav 18_10_giorgos.wav,2326,199
17_00_fil.wav 18_10_stavros.wav,2207,177
17_00_fil.wav 18_20_dp.wav,1460,191
17_00_fil.wav 18_20_fil.wav,2214,193
17_00_fil.wav 18_20_giorgos.wav,2705,247
17_00_fil.wav 18_20_nikos.wav,1864,251
17_00_fil.wav 18_20_stavros.wav,1540,203
17_00_fil.wav 18_30_dp.wav,2900,243
17_00_fil.wav 18_30_fil.wav,2436,225
17_00_fil.wav 18_30_giorgos.wav,3041,233
17_00_fil.wav 18_30_nikos.wav,2385,285
17_00_fil.wav 18_30_stavros.wav,1299,196
17_00_fil.wav 18_40_dp.wav,1992,251
17_00_fil.wav 18_40_fil.wav,2481,205
17_00_fil.wav 18_40_giorgos.wav,1269,236
17_00_fil.wav 18_40_nikos.wav,1968,291
17_00_fil.wav 18_40_stavros.wav,2178,215
17_00_fil.wav 18_50_dp.wav,1713,246
17_00_fil.wav 18_50_fil.wav,1750,251
17_00_fil.wav 18_50_giorgos.wav,5143,297
17_00_fil.wav 18_50_nikos.wav,2172,273
17_00_fil.wav 18_50_stavros.wav,1725,210
17_00_fil.wav 18_58_stavros.wav,1430,221
17_00_giorgos.wav 17_00_nikos.wav,1766,503
17_00_giorgos.wav 17_00_stavros.wav,1734,691
17_00_giorgos.wav 17_10_dp.wav,3516,351
17_00_giorgos.wav 17_10_fil.wav,1374,253
17_00_giorgos.wav 17_10_giorgos.wav,4246,258
17_00_giorgos.wav 17_10_nikos.wav,2161,248
17_00_giorgos.wav 17_10_stavros.wav,3594,255
17_00_giorgos.wav 17_20_dp.wav,3309,299
17_00_giorgos.wav 17_20_giorgos.wav,3169,375
17_00_giorgos.wav 17_20_nikos.wav,2897,286
17_00_giorgos.wav 17_20_stavros.wav,2673,285
17_00_giorgos.wav 17_30_dp.wav,3252,258
17_00_giorgos.wav 17_30_fil.wav,1721,264
17_00_giorgos.wav 17_30_giorgos.wav,2923,320
17_00_giorgos.wav 17_30_nikos.wav,3291,281
17_00_giorgos.wav 17_30_stavros.wav,3260,283
17_00_giorgos.wav 17_40_dp.wav,3170,298
17_00_giorgos.wav 17_40_fil.wav,2439,282
