,frame,match_strength
17_00_fil.wav 17_30_nikos.wav,2202,247.0
17_00_fil.wav 17_30_stavros.wav,1156,195.0
17_00_fil.wav 17_40_dp.wav,2389,267.0
17_00_fil.wav 17_40_fil.wav,1462,205.0
17_00_fil.wav 17_40_giorgos.wav,2188,255.0
17_00_fil.wav 17_40_nikos.wav,2509,194.0
17_00_fil.wav 17_40_stavros.wav,2417,233.0
17_00_fil.wav 18_10_dp.wav,1694,193.0
17_00_fil.wav 18_10_fil.wav,1688,215.0
17_00_fil.wav 18_10_giorgos.wav,2326,199.0
17_00_fil.wav 18_10_stavros.wav,2207,177.0
17_00_fil.wav 18_20_dp.wav,1460,191.0
17_00_fil.wav 18_20_fil.wav,2214,193.0
17_00_fil.wav 18_20_giorgos.wav,2705,247.0
17_00_fil.wav 18_20_nikos.wav,1864,251.0
17_00_fil.wav 18_20_stavros.wav,1540,203.0
17_00_fil.wav 18_30_dp.wav,2900,243.0
17_00_fil.wav 18_30_fil.wav,2436,225.0
17_00_fil.wav 18_30_giorgos.wav,3041,233.0
17_00_fil.wav 18_30_nikos.wav,2385,285.0
17_00_fil.wav 18_30_stavros.wav,1299,196.0
17_00_fil.wav 18_40_dp.wav,1992,251.0
17_00_fil.wav 18_40_fil.wav,2481,205.0
17_00_fil.wav 18_40_giorgos.wav,1269,236.0
17_00_fil.wav 18_40_nikos.wav,1968,291.0
17_00_fil.wav 18_40_stavros.wav,2178,215.0
17_00_fil.wav 18_50_dp.wav,1713,246.0
17_00_fil.wav 18_50_fil.wav,1750,251.0
17_00_fil.wav 18_50_giorgos.wav,5143,297.0
17_00_fil.wav 18_50_nikos.wav,2172,273.0
17_00_fil.wav 18_50_stavros.wav,1725,210.0
17_00_fil.wav 18_58_stavros.wav,1430,221.0
17_00_giorgos.wav 17_00_nikos.wav,1766,503.0
17_00_giorgos.wav 17_00_stavros.wav,1734,691.0
17_00_giorgos.wav 17_10_dp.wav,3516,351.0
17_00_giorgos.wav 17_10_fil.wav,1374,253.0
17_00_giorgos.wav 17_10_giorgos.wav,4246,258.0
17_00_giorgos.wav 17_10_nikos.wav,2161,248.0
17_00_giorgos.wav 17_10_stavros.wav,3594,255.0
17_00_giorgos.wav 17_20_dp.wav,3309,299.0
17_00_giorgos.wav 17_20_giorgos.wav,3169,375.0
17_00_giorgos.wav 17_20_nikos.wav,2897,286.0
17_00_giorgos.wav 17_20_stavros.wav,2673,285.0
17_00_giorgos.wav 17_30_dp.wav,3252,258.0
17_00_giorgos.wav 17_30_fil.wav,1721,264.0
17_00_giorgos.wav 17_30_giorgos.wav,2923,320.0
17_00_giorgos.wav 17_30_nikos.wav,3291,281.0
17_00_giorgos.wav 17_30_stavros.wav,3260,283.0
17_00_giorgos.wav 17_40_dp.wav,3170,298.0
17_00_giorgos.wav 17_40_fil.wav,2439,282.0
